mot;nature;frequence
le;dét.;1050561
de;prép.;862100
un;dét.;419564
être;verbe;351960
et;conj.;362093
à;prép.;293083
il;pron.;270395
avoir;verbe;248488
ne;adv.;186755
je;pron.;184186
son;dét.;181161
que;conj.;176161
se;pron.;168684
qui;pron.;148392
ce;dét.;141389
dans;prép.;139185
en;prép.;143565
du;dét.;127384
elle;pron.;126397
au;dét.;123502
de;dét.;119106
ce;pron.;107074
le;pron.;105873
pour;prép.;104779
pas;adv.;103083
que;pron.;99412
vous;pron.;89623
par;prép.;82277
sur;prép.;80180
faire;verbe;77608
plus;adv.;75499
dire;verbe;72134
me;pron.;71086
on;pron.;70246
mon;dét.;70121
lui;pron.;65988
nous;pron.;62554
comme;conj.;59902
mais;conj.;57690
pouvoir;verbe;55394
avec;prép.;55081
tout;adj.;47221
y;pron.;46031
aller;verbe;41702
voir;verbe;39659
en;pron.;38935
bien;adv.;37171
où;pron.;36089
sans;prép.;35915
tu;pron.;35774
ou;conj.;34897
leur;dét.;33950
homme;subst.;33202
si;adv.;32024
deux;numér.;30211
mari;subst.;30082
moi;pron.;30053
vouloir;verbe;29435
te;pron.;28542
femme;subst.;26148
venir;verbe;26023
quand;conj.;25592
grand;adj.;25388
celui;pron.;24270
si;conj.;24024
notre;dét.;23883
devoir;verbe;22703
là;adv.;22695
jour;subst.;22232
prendre;verbe;20489
même;adv.;19994
votre;dét.;19942
tout;adv.;19915
rien;pron.;19379
petit;adj.;19008
encore;adv.;19176
aussi;adv.;18311
quelque;dét.;17953
dont;pron.;17797
tout;pron.;17486
mer;subst.;17166
trouver;verbe;16833
donner;verbe;16795
temps;subst.;16785
ça;pron.;16494
peu;adv.;16251
même;adj.;16081
falloir;verbe;16078
sous;prép.;15944
parler;verbe;15814
alors;adv.;15639
main;subst.;15540
chose;subst.;15524
ton;dét.;15513
mettre;verbe;15339
vie;subst.;15241
savoir;verbe;15102
yeux;subst.;14981
passer;verbe;14976
autre;adj.;14688
après;prép.;14606
regarder;verbe;14604
toujours;adv.;14336
puis;conj.;14257
jamais;adv.;14255
cela;pron.;14253
aimer;verbe;14138
non;adv.;14039
heure;subst.;13940
croire;verbe;13881
cent;numér.;13798
monde;subst.;13737
donc;conj.;13562
enfant;subst.;13348
fois;subst.;13191
seul;adj.;13104
autre;pron.;13063
entre;prép.;13684
vers;prép.;12781
chez;prép.;12698
demander;verbe;12597
jeune;adj.;12593
jusque;prép.;12465
très;adv.;12432
moment;subst.;12274
rester;verbe;12155
répondre;verbe;12063
tout;dét.;12051
tête;subst.;11999
père;subst.;11854
fille;subst.;11842
mille;numér.;11758
premier;adj.;11731
car;conj.;11695
entendre;verbe;12009
ni;conj.;11640
bon;adj.;11483
trois;numér.;11372
cœur;subst.;11312
ainsi;adv.;11296
an;subst.;11274
quatre;numér.;10970
un;pron.;10941
terre;subst.;10786
contre;prép.;10692
dieu;subst.;10661
monsieur;subst.;10489
voix;subst.;10469
penser;verbe;10358
quel;adj.;10343
arriver;verbe;10288
maison;subst.;10287
devant;prép.;9995
coup;subst.;9991
beau;adj.;9870
connaître;verbe;9769
devenir;verbe;9759
air;subst.;9755
mot;subst.;9752
nuit;subst.;9694
sentir;verbe;9585
eau;subst.;9603
vieux;adj.;9515
sembler;verbe;9482
moins;adv.;9472
tenir;verbe;9312
ici;adv.;9098
comprendre;verbe;9037
oui;adv.;9005
rendre;verbe;9002
toi;pron.;8997
vingt;numér.;8920
depuis;prép.;8907
attendre;verbe;8851
sortir;verbe;8768
ami;subst.;8744
trop;adv.;8686
porte;subst.;8649
lequel;pron.;8574
chaque;dét.;8419
amour;subst.;8283
pendant;prép.;8202
déjà;adv.;8170
pied;subst.;8040
tant;adv.;7960
gens;subst.;7944
parce que;conj.;7824
nom;subst.;7795
vivre;verbe;7625
reprendre;verbe;7544
entrer;verbe;7614
porter;verbe;7499
pays;subst.;7451
ciel;subst.;7433
avant;prép.;7425
frère;subst.;7415
regard;subst.;7399
chercher;verbe;7304
âme;subst.;7255
côté;subst.;7245
mort;subst.;7182
revenir;verbe;7114
noir;adj.;7038
maintenant;adv.;7024
nouveau;adj.;7019
ville;subst.;6983
rue;subst.;6923
enfin;adv.;7126
appeler;verbe;6892
soir;subst.;6877
chambre;subst.;6835
mourir;verbe;6785
pas;subst.;6751
partir;verbe;6726
cinq;numér.;6723
esprit;subst.;7031
soleil;subst.;6692
dernier;adj.;6650
jeter;verbe;6610
dix;numér.;6609
roi;subst.;6588
état;subst.;6489
corps;subst.;6425
beaucoup;adv.;6399
suivre;verbe;6397
bras;subst.;6304
écrire;verbe;6256
blanc;adj.;6246
montrer;verbe;6195
tomber;verbe;6182
place;subst.;6178
ouvrir;verbe;6169
ah;interj.;6138
parti;subst.;6102
assez;adv.;6090
leur;pron.;6078
cher;adj.;6059
voilà;prép.;6054
année;subst.;6004
loin;adv.;5996
point;adv.;5961
visage;subst.;5954
bruit;subst.;5946
lettre;subst.;5946
franc;subst.;5922
fond;subst.;5861
force;subst.;5835
arrêter;verbe;5812
perdre;verbe;5786
commencer;verbe;5783
paraître;verbe;5779
aucun;dét.;5774
marcher;verbe;5747
milieu;subst.;5706
saint;subst.;5702
idée;subst.;5686
presque;adv.;5662
ailleurs;adv.;5629
travail;subst.;5623
lumière;subst.;5622
long;adj.;5562
seulement;adv.;5544
mois;subst.;5527
fils;subst.;5520
neuf;numér.;5508
tel;dét.;5505
lever;verbe;5494
raison;subst.;5481
effet;subst.;5829
gouvernement;subst.;5470
permettre;verbe;5467
pauvre;adj.;5434
asseoir;verbe;5417
point;subst.;5416
plein;adj.;5413
personne;subst.;5391
vrai;adj.;5385
peuple;subst.;5349
fait;subst.;5343
parole;subst.;5295
guerre;subst.;5273
toute;adj.;5258
écouter;verbe;5216
pensée;subst.;5214
affaire;subst.;5179
quoi;pron.;5152
matin;subst.;5145
pierre;subst.;5127
monter;verbe;5088
bas;adj.;5087
vent;subst.;5002
doute;subst.;4977
front;subst.;4969
ombre;subst.;4939
part;subst.;4932
maître;subst.;4916
aujourd'hui;adv.;4915
besoin;subst.;4908
question;subst.;4908
apercevoir;verbe;4904
recevoir;verbe;4891
mieux;adv.;4881
peine;subst.;4859
tour;subst.;4836
servir;verbe;4806
oh;interj.;4766
autour;adv.;4764
près;prép.;4731
finir;verbe;4709
famille;subst.;4705
pourquoi;conj.;4700
souvent;adv.;4665
rire;verbe;4662
dessus;adv.;4657
madame;subst.;4653
sorte;subst.;4635
figure;subst.;4618
droit;subst.;4595
peur;subst.;4574
bout;subst.;4571
lieu;subst.;4554
silence;subst.;4541
gros;adj.;4537
chef;subst.;4503
eh;interj.;4584
six;numér.;4463
bois;subst.;4460
mari;subst.;4457
histoire;subst.;4451
crier;verbe;4449
jouer;verbe;4447
feu;subst.;4429
tourner;verbe;4371
doux;adj.;4355
longtemps;adv.;4355
fort;adv.;4350
heureux;adj.;4332
comme;adv.;4324
garder;verbe;4272
partie;subst.;4271
face;subst.;4236
mouvement;subst.;4231
fin;subst.;4217
reconnaître;verbe;4198
quitter;verbe;4180
personne;pron.;4164
comment;adv.;4163
route;subst.;4155
dès;prép.;4141
manger;verbe;4127
livre;subst.;4097
arbre;subst.;4070
courir;verbe;4059
cas;subst.;4058
huit;numér.;4052
lorsque;conj.;4041
mur;subst.;4034
ordre;subst.;4028
continuer;verbe;4022
bonheur;subst.;3978
oublier;verbe;3965
descendre;verbe;3955
haut;adj.;3953
intérêt;subst.;3922
